,iteration_num,N_screened,percentage_screened,mean_score,median_score,min_score,shared_with_top_N,N_found_by_now,N_found_if_random,percentage_found
0,0,0,0.0,-28.389884500000004,-29.185000000000002,-66.73,8,8,10,0.013764624913971095
1,1,20000,0.017205605889217372,-28.044563,-29.405,-64.66,13,21,20,0.036132140399174124
2,2,40000,0.034411211778434744,-44.31137499999999,-45.45,-66.05,223,244,30,0.4198210598761184
3,3,60000,0.05161681766765211,-44.867902,-45.98,-67.93,226,470,40,0.8086717136958018
4,4,80000,0.06882242355686949,-43.897363,-45.045,-68.39,189,659,50,1.133860977288369
5,5,100000,0.08602802944608685,-43.8630225,-45.04,-67.16,156,815,60,1.4022711631108051
6,6,120000,0.10323363533530422,-43.895185,-45.07,-68.3,205,1020,70,1.7549896765313144
7,7,140000,0.1204392412245216,-44.560272,-45.705,-68.19,238,1258,80,2.1644872677219547
8,8,160000,0.13764484711373898,-43.29643299999999,-44.5,-69.73,150,1408,90,2.4225739848589125
9,9,180000,0.15485045300295636,-43.478978500000004,-44.59,-67.99,156,1564,100,2.690984170681349
10,10,200000,0.1720560588921737,-43.947419,-45.09,-68.64,203,1767,110,3.0402615278733656
11,11,220000,0.1892616647813911,-43.138784,-44.36,-68.24,151,1918,120,3.30006882312457
12,12,240000,0.20646727067060844,-40.252832999999995,-40.69,-65.12,99,2017,130,3.4704060564349626
13,13,260000,0.22367287655982582,-43.411236,-44.58,-70.16,167,2184,140,3.7577426015141087
14,14,280000,0.2408784824490432,-43.990088,-45.23,-66.4,170,2354,150,4.050240880935994
15,15,300000,0.2580840883382605,-43.642244999999996,-45.06,-75.5,248,2602,160,4.476944253269098
16,16,320000,0.27528969422747795,-43.746404,-45.0,-69.68,193,2795,170,4.809015829318651
17,17,340000,0.2924953001166953,-41.96426100000001,-44.03,-73.47,160,2955,180,5.084308327598073
18,18,360000,0.3097009060059127,-33.519602500000005,-33.71,-68.28,75,3030,190,5.213351686166552
19,19,380000,0.32690651189513004,-43.5723265,-44.91,-72.47,181,3211,200,5.524776324845148
20,20,400000,0.3441121177843474,-43.495357500000004,-44.74,-68.94,187,3398,210,5.846524432209222
21,21,420000,0.3613177236735648,-42.8548195,-44.31,-67.52,162,3560,220,6.125258086717137
22,22,440000,0.3785233295627822,-43.273317,-44.67,-68.64,294,3854,230,6.631108052305574
23,23,460000,0.3957289354519995,-44.162388,-45.42,-67.75,211,4065,240,6.994150034411563
24,24,480000,0.4129345413412169,-43.8921505,-45.15,-68.12,326,4391,250,7.555058499655884
25,25,500000,0.4301401472304343,-44.4444285,-45.74,-68.79,389,4780,260,8.224363386097728
26,26,520000,0.44734575311965163,-43.52153199999999,-44.9,-70.48,279,5059,270,8.70440467997247
27,27,540000,0.464551359008869,-43.758295999999994,-45.58,-69.48,345,5404,280,9.298004129387474
28,28,560000,0.4817569648980864,-42.70014499999999,-44.87,-68.46,359,5763,290,9.915691672401927
29,29,580000,0.4989625707873037,-36.4501635,-36.14,-65.36,76,5839,300,10.046455609084653
30,30,600000,0.516168176676521,-45.3569315,-46.98,-68.32,539,6378,310,10.973847212663456
31,31,620000,0.5333737825657385,-46.005112,-47.29,-71.29,472,6850,320,11.78596008258775
32,32,640000,0.5505793884549559,-45.348523,-46.83,-68.37,394,7244,330,12.463867859600827
33,33,660000,0.5677849943441732,-46.3612935,-47.52,-67.95,447,7691,340,13.23296627666896
34,34,680000,0.5849906002333906,-44.9068455,-45.97,-72.22,233,7924,350,13.63386097728837
35,35,700000,0.6021962061226079,-40.407543000000004,-40.77,-68.19,238,8162,360,14.04335856847901
36,36,720000,0.6194018120118254,-45.453964,-46.67,-70.73,449,8611,370,14.815898141775635
37,37,740000,0.6366074179010427,-44.572745499999996,-46.07,-71.47,320,8931,380,15.36648313833448
38,38,760000,0.6538130237902601,-44.19862749999999,-45.55,-71.69,294,9225,390,15.872333103922918
39,39,780000,0.6710186296794775,-41.952360999999996,-43.33,-71.44,235,9460,400,16.276668960770817
40,40,800000,0.6882242355686948,-43.703069500000005,-45.1,-69.27,254,9714,410,16.713695801789402
41,41,820000,0.7054298414579121,-42.235026,-43.53,-69.01,216,9930,420,17.08534067446662
42,42,840000,0.7226354473471296,-42.872498,-44.27,-66.76,285,10215,430,17.57570543702684
43,43,860000,0.739841053236347,-39.8321245,-40.34,-66.84,99,10314,440,17.746042670337232
44,44,880000,0.7570466591255643,-43.933544499999996,-45.17,-67.78,361,10675,450,18.36717136958018
45,45,900000,0.7742522650147816,-45.106465,-46.18,-69.27,260,10935,460,18.81452167928424
46,46,920000,0.791457870903999,-44.265657,-45.6,-66.03,295,11230,470,19.32209222298692
47,47,940000,0.8086634767932165,-40.815726,-42.48,-68.91,261,11491,480,19.771163110805233
48,48,960000,0.8258690826824338,-44.27603150000001,-46.17,-67.47,298,11789,490,20.283895388850652
49,49,980000,0.8430746885716511,-44.136311,-45.38,-66.6,210,11999,500,20.645216792842394
50,50,1000000,0.8602802944608686,-39.733976500000004,-42.26,-65.27,129,12128,510,20.867171369580177
51,51,1020000,0.8774859003500859,-45.264352,-46.38,-69.83,254,12382,520,21.30419821059876
52,52,1040000,0.8946915062393033,-32.560709499999994,-32.49,-64.37,47,12429,530,21.385065381968342
53,53,1060000,0.9118971121285205,-44.4075865,-45.67,-68.99,182,12611,540,21.698210598761182
54,54,1080000,0.929102718017738,-44.228095,-45.46,-68.34,150,12761,550,21.95629731589814
55,55,1100000,0.9463083239069555,-38.0800385,-39.22,-66.08,68,12829,560,22.073296627666895
56,56,1120000,0.9635139297961728,-44.717684999999996,-45.86,-67.38,219,13048,570,22.450103234686853
57,57,1140000,0.9807195356853902,-35.2424745,-35.13,-64.31,21,13069,580,22.48623537508603
58,58,1160000,0.9979251415746074,-44.4390005,-45.56,-66.53,153,13222,590,22.749483826565726
59,59,1180000,1.015130747463825,-43.998397499999996,-45.09,-66.76,114,13336,600,22.945629731589815
60,60,1200000,1.032336353353042,-42.4378375,-43.85,-69.18,131,13467,610,23.17102546455609
61,61,1220000,1.0495419592422597,-43.950729,-45.13,-66.27,148,13615,620,23.425671025464556
62,62,1240000,1.066747565131477,-43.805531499999994,-45.09,-66.31,153,13768,630,23.688919476944253
63,63,1260000,1.0839531710206942,-43.84762949999999,-45.03,-68.06,178,13946,640,23.99518238128011
64,64,1280000,1.1011587769099118,-42.9730545,-44.205,-66.49,142,14088,650,24.239504473503096
65,65,1300000,1.118364382799129,-43.928369,-45.1,-67.08,149,14237,660,24.49587061252581
66,66,1320000,1.1355699886883464,-41.541512,-43.58,-69.2,137,14374,670,24.731589814177564
67,67,1340000,1.152775594577564,-44.3176225,-45.31,-68.23,158,14532,680,25.003441156228494
68,68,1360000,1.1699812004667811,-41.683640999999994,-42.78,-68.76,114,14646,690,25.199587061252583
69,69,1380000,1.1871868063559987,-43.135046,-44.44,-67.07,127,14773,700,25.418100481761876
70,70,1400000,1.2043924122452159,-42.922195499999994,-44.11,-66.44,120,14893,710,25.624569855471442
71,71,1420000,1.2215980181344333,-41.8075105,-42.98,-66.22,117,15010,720,25.825877494838267
72,72,1440000,1.2388036240236509,-40.47935450000001,-41.33,-67.58,105,15115,730,26.006538196834132
73,73,1460000,1.256009229912868,-41.923562,-42.94,-66.89,104,15219,740,26.18547832071576
74,74,1480000,1.2732148358020854,-41.871314,-43.26,-66.51,102,15321,750,26.360977288368893
75,75,1500000,1.2904204416913028,-41.894123,-43.46,-66.42,110,15431,760,26.550240880935995
76,76,1520000,1.3076260475805201,-41.923660500000004,-43.33,-65.55,118,15549,770,26.75326909841707
77,77,1540000,1.3248316534697375,-42.714905,-43.92,-70.54,109,15658,780,26.94081211286992
78,78,1560000,1.342037259358955,-44.1137095,-45.15,-67.25,184,15842,790,27.257398485891258
79,79,1580000,1.3592428652481723,-42.149040500000005,-43.24,-66.12,85,15927,800,27.4036476256022
80,80,1600000,1.3764484711373897,-41.3368035,-42.66,-65.35,103,16030,810,27.580867171369576
81,81,1620000,1.393654077026607,-41.0765495,-42.37,-68.59,115,16145,820,27.778733654507914
82,82,1640000,1.4108596829158242,-41.621764,-42.64,-68.26,102,16247,830,27.954232622161047
83,83,1660000,1.4280652888050418,-41.163222999999995,-42.37,-68.31,96,16343,840,28.119408121128696
84,84,1680000,1.4452708946942592,-42.21123300000001,-43.33,-70.2,137,16480,850,28.355127322780454
85,85,1700000,1.4624765005834766,-40.7095735,-42.025000000000006,-67.08,71,16551,860,28.477288368891944
86,86,1720000,1.479682106472694,-42.888878,-44.21,-67.33,131,16682,870,28.70268410185822
87,87,1740000,1.496887712361911,-41.3418735,-42.48,-66.76,132,16814,880,28.92980041293875
88,88,1760000,1.5140933182511287,-40.6209015,-41.8,-67.1,95,16909,890,29.093255333792158
89,89,1780000,1.531298924140346,-44.348834,-45.38,-66.51,197,17106,900,29.432209222298695
90,90,1800000,1.5485045300295632,-39.990647499999994,-41.28,-66.15,60,17166,910,29.535443909153475
91,91,1820000,1.5657101359187808,-40.190342,-41.75,-67.5,72,17238,920,29.659325533379217
92,92,1840000,1.582915741807998,-41.0132195,-42.15,-67.63,75,17313,930,29.78836889194769
93,93,1860000,1.6001213476972154,-42.544612,-43.76,-71.3,109,17422,940,29.975911906400547
94,94,1880000,1.617326953586433,-41.171260499999995,-42.3,-67.42,101,17523,950,30.149690295939436
95,95,1900000,1.6345325594756501,-41.61714800000001,-42.68,-67.85,62,17585,960,30.25636613902271
96,96,1920000,1.6517381653648675,-42.66240750000001,-43.87,-67.55,128,17713,970,30.476600137646248
97,97,1940000,1.668943771254085,-40.670266,-42.15,-68.68,82,17795,980,30.617687543014455
98,98,1960000,1.6861493771433023,-40.6168555,-41.88,-64.32,72,17867,990,30.74156916724019
99,99,1980000,1.7033549830325196,-40.884578000000005,-42.15,-68.45,51,17918,1000,30.829318651066757
